"ID","yr","ewe_age_z","age_class","prim","mass_gain","repro_tp1","frs","wean_tp1","birthdate_tp1","mismatch_tp1","pred","first_pregnant","birthdate_z","median_bdate_z","greenup_date_z","mass_fall_tm1_z","mass_fall_z","mass_spring_z","greenup_mismatch_z","code_sr","wean_mass_z","rtp1"
4,2000,1.637,"senescent","FALSE",21.413,"yes","notWeaned","no",150,-8,"1","0",-0.038,1.341,2.11,-0.168,0.319,-0.376,-1.33,"3",0.608,"1"
11,2000,0.78,"adult","FALSE",17.223,"yes","weaned","yes",NA,NA,"1","0",NA,1.341,2.11,-0.691,0.138,-0.039,NA,"1",NA,"1"
12,2000,1.351,"adult","FALSE",11.434,"yes","neoDeath","no",162,4,"1","1",2.438,1.341,2.11,-0.188,0.181,0.695,0.572,"3",NA,"1"
12,2001,1.637,"senescent","FALSE",13.861,"yes","neoDeath","no",NA,NA,"1","1",0.528,1.196,1.041,0.197,0.254,0.47,-0.243,"1",NA,"1"
12,2002,1.923,"senescent","FALSE",16.959,"yes","weaned","yes",NA,NA,"1","1",NA,0.034,1.041,0.268,0.171,0.023,NA,"1",NA,"1"
14,2000,-0.363,"adult","FALSE",13.603,"yes","weaned","yes",154,-4,"1","1",1.377,1.341,2.11,-0.493,-0.123,0.157,-0.243,"3",-1.215,"1"
15,2000,-0.363,"adult","FALSE",18.78,"yes","weaned","yes",NA,NA,"1","1",NA,1.341,2.11,-0.524,0.497,0.102,NA,"1",NA,"1"
15,2001,-0.078,"adult","FALSE",11.679,"yes","weaned","yes",146,-12,"1","0",-0.392,1.196,1.041,0.507,0.133,0.621,-0.95,"3",NA,"1"
15,2002,0.208,"adult","FALSE",15.719,"yes","neoDeath","no",NA,NA,"1","0",-0.604,0.034,1.041,0.149,-0.169,-0.139,-1.113,"5",-0.228,"1"
16,2000,-0.363,"prim","TRUE",5.406,"yes","neoDeath","no",NA,NA,"1","1",1.589,1.341,2.11,-0.709,-0.86,0.465,-0.08,"5",NA,"1"
16,2001,-0.078,"adult","FALSE",11.915,"yes","notWeaned","no",NA,NA,"1","0",NA,1.196,1.041,-0.827,-0.195,0.292,NA,"1",NA,"1"
16,2002,0.208,"adult","FALSE",7.338,"yes","notWeaned","no",163,11,"1","1",2.084,0.034,1.041,-0.174,-0.766,0.319,0.952,"2",NA,"1"
16,2003,0.494,"adult","FALSE",12.627,"yes","weaned","yes",160,14,"0","1",0.598,1.341,0.507,-0.735,-0.416,0.005,0.137,"2",NA,"1"
16,2004,0.78,"adult","FALSE",9.269,"yes","notWeaned","no",172,30,"0","1",0.386,1.051,-0.028,-0.391,-0.106,0.692,0.3,"3",-0.155,"1"
16,2005,1.066,"adult","FALSE",9.268,"yes","neoDeath","no",NA,NA,"0","1",1.235,-0.474,-0.384,-0.085,-0.005,0.784,1.17,"2",-0.526,"1"
16,2006,1.351,"adult","FALSE",9.16,"yes","weaned","yes",NA,NA,"0","1",NA,-0.619,-1.097,0.014,0.019,0.819,NA,"1",NA,"1"
16,2007,1.637,"senescent","FALSE",11.855,"yes","neoDeath","no",NA,NA,"0","0",-0.746,-1.127,0.507,0.037,-0.215,0.282,-0.896,"5",-1.57,"1"
